Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-09-20,6.747,0
2019-09-21,8.227,0
2019-09-22,8.557,0
2019-09-23,8.285,0
2019-09-24,6.588,0
2019-09-25,7.458,0
2019-09-26,7.004,0
2019-09-27,6.952,1
2019-09-28,7.854,1
2019-09-29,7.422,1
2019-09-30,8.073,1
2019-10-01,8.32,1
2019-10-02,8.232,1
2019-10-03,5.59,1
2019-10-04,4.435,1
2019-10-05,4.026,1
2019-10-06,3.837,1
2019-10-07,3.429,1
2019-10-08,2.913,1
2019-10-09,2.536,1
2019-10-10,2.425,1
2019-10-11,2.355,1
2019-10-12,2.605,2
2019-10-13,2.496,2
2019-10-14,2.39,2
2019-10-15,2.288,2
2019-10-16,2.189,2
2019-10-17,2.093,2
2019-10-18,2.001,2
