Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-08-07,12.606,0
2019-08-08,11.721,0
2019-08-09,11.264,0
2019-08-10,10.496,0
2019-08-11,10.671,0
2019-08-12,12.221,0
2019-08-13,12.908,0
2019-08-14,12.092,0
2019-08-15,11.577,1
2019-08-16,12.018,1
2019-08-17,13.017,1
2019-08-18,13.644,1
2019-08-19,14.209,1
2019-08-20,14.793,1
2019-08-21,14.379,1
2019-08-22,14.633,1
2019-08-23,14.666,1
2019-08-24,10.166,2
2019-08-25,10.066,2
2019-08-26,9.962,2
2019-08-27,9.852,2
2019-08-28,9.737,2
2019-08-29,9.617,2
2019-08-30,9.492,2
