Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2022-08-26,0.035,0
2022-08-27,0.059,0
2022-08-28,0.055,0
2022-08-29,0.017,0
2022-08-30,0.003,0
2022-08-31,0.01,0
2022-09-01,0.127,0
2022-09-02,0.072,0
2022-09-03,0.112,1
2022-09-04,0.186,1
2022-09-05,0.13,1
2022-09-06,0.087,1
2022-09-07,0.091,1
2022-09-08,0.127,1
2022-09-09,0.185,1
2022-09-10,0.246,1
2022-09-11,0.381,1
2022-09-12,0.579,1
2022-09-13,0.64,1
2022-09-14,0.601,1
2022-09-15,0.564,1
2022-09-16,0.679,1
2022-09-17,1.617,2
2022-09-18,1.748,2
2022-09-19,1.886,2
2022-09-20,2.029,2
2022-09-21,2.177,2
2022-09-22,2.33,2
2022-09-23,2.488,2
