Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-10-30,17.586,0
2020-10-31,16.217,0
2020-11-01,15.62,0
2020-11-02,17.994,0
2020-11-03,12.816,0
2020-11-04,8.533,0
2020-11-05,6.423,0
2020-11-06,6.916,0
2020-11-07,7.397,1
2020-11-08,7.83,1
2020-11-09,8.813,1
2020-11-10,11.129,1
2020-11-11,13.986,1
2020-11-12,15.594,1
2020-11-13,16.256,1
2020-11-14,14.786,1
2020-11-15,12.838,1
2020-11-16,13.459,1
2020-11-17,14.616,1
2020-11-18,13.915,1
2020-11-19,13.903,1
2020-11-20,16.099,1
2020-11-21,17.572,1
2020-11-22,20.914,2
2020-11-23,21.16,2
2020-11-24,21.397,2
2020-11-25,21.628,2
2020-11-26,21.854,2
2020-11-27,22.074,2
2020-11-28,22.291,2
