Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-04-24,4.647,0
2020-04-25,4.051,0
2020-04-26,3.336,0
2020-04-27,2.924,0
2020-04-28,3.882,0
2020-04-29,3.849,0
2020-04-30,3.022,0
2020-05-01,3.156,1
2020-05-02,4.113,1
2020-05-03,5.549,1
2020-05-04,6.337,1
2020-05-05,6.021,1
2020-05-06,4.861,1
2020-05-07,4.348,1
2020-05-08,4.241,1
2020-05-09,3.942,1
2020-05-10,3.448,1
2020-05-11,3.478,1
2020-05-12,3.816,1
2020-05-13,4.173,1
2020-05-14,4.522,1
2020-05-15,4.899,1
2020-05-16,6.222,2
2020-05-17,6.403,2
2020-05-18,6.586,2
2020-05-19,6.771,2
2020-05-20,6.958,2
2020-05-21,7.145,2
2020-05-22,7.334,2
