Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-06-21,12.761,0
2021-06-22,8.784,0
2021-06-23,9.291,0
2021-06-24,10.233,0
2021-06-25,11.371,0
2021-06-26,13.399,0
2021-06-27,14.447,0
2021-06-28,13.984,1
2021-06-29,14.025,1
2021-06-30,13.933,1
2021-07-01,13.074,1
2021-07-02,11.836,1
2021-07-03,10.559,1
2021-07-04,10.383,1
2021-07-05,11.018,1
2021-07-06,11.933,1
2021-07-07,12.832,1
2021-07-08,13.999,2
2021-07-09,14.066,2
2021-07-10,14.125,2
2021-07-11,14.177,2
2021-07-12,14.222,2
2021-07-13,14.259,2
2021-07-14,14.289,2
