Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-04-09,2.511,0
2020-04-10,1.066,0
2020-04-11,0.887,0
2020-04-12,1.683,0
2020-04-13,1.47,0
2020-04-14,1.11,0
2020-04-15,0.858,0
2020-04-16,0.516,1
2020-04-17,0.966,1
2020-04-18,1.427,1
2020-04-19,1.994,1
2020-04-20,1.492,1
2020-04-21,1.205,1
2020-04-22,1.926,1
2020-04-23,2.231,1
2020-04-24,2.749,1
2020-04-25,3.02,1
2020-04-26,3.263,1
2020-04-27,2.412,1
2020-04-28,1.698,1
2020-04-29,1.632,1
2020-04-30,1.975,1
2020-05-01,2.271,2
2020-05-02,2.353,2
2020-05-03,2.442,2
2020-05-04,2.537,2
2020-05-05,2.638,2
2020-05-06,2.745,2
2020-05-07,2.859,2
