Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2020-04-23,4.227,0
2020-04-24,4.647,0
2020-04-25,4.051,0
2020-04-26,3.336,0
2020-04-27,2.924,0
2020-04-28,3.882,0
2020-04-29,4.296,0
2020-04-30,3.02,1
2020-05-01,3.261,1
2020-05-02,4.49,1
2020-05-03,6.224,1
2020-05-04,6.436,1
2020-05-05,6.277,1
2020-05-06,4.305,1
2020-05-07,3.285,1
2020-05-08,3.345,1
2020-05-09,3.403,1
2020-05-10,3.262,1
2020-05-11,3.123,1
2020-05-12,3.615,1
2020-05-13,4.104,1
2020-05-14,4.521,1
2020-05-15,6.044,2
2020-05-16,6.222,2
2020-05-17,6.403,2
2020-05-18,6.586,2
2020-05-19,6.771,2
2020-05-20,6.958,2
2020-05-21,7.145,2
