Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2019-08-08,11.721,0
2019-08-09,11.264,0
2019-08-10,10.496,0
2019-08-11,10.671,0
2019-08-12,12.221,0
2019-08-13,12.908,0
2019-08-14,12.092,0
2019-08-15,11.329,1
2019-08-16,11.847,1
2019-08-17,12.977,1
2019-08-18,13.91,1
2019-08-19,14.373,1
2019-08-20,14.548,1
2019-08-21,13.58,1
2019-08-22,11.649,1
2019-08-23,11.772,1
2019-08-24,12.192,1
2019-08-25,10.066,2
2019-08-26,9.962,2
2019-08-27,9.852,2
2019-08-28,9.737,2
2019-08-29,9.617,2
2019-08-30,9.492,2
2019-08-31,9.361,2
