Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-03-14,0.533,0
2021-03-15,0.71,0
2021-03-16,1.255,0
2021-03-17,0.984,0
2021-03-18,0.729,0
2021-03-19,0.211,0
2021-03-20,0.125,0
2021-03-21,0.16,0
2021-03-22,0.205,1
2021-03-23,0.518,1
2021-03-24,0.801,1
2021-03-25,1.114,1
2021-03-26,1.344,1
2021-03-27,1.488,1
2021-03-28,1.296,1
2021-03-29,0.805,1
2021-03-30,0.852,1
2021-03-31,0.995,1
2021-04-01,0.93,1
2021-04-02,0.984,1
2021-04-03,1.213,1
2021-04-04,1.497,1
2021-04-05,1.372,2
2021-04-06,1.406,2
2021-04-07,1.437,2
2021-04-08,1.466,2
2021-04-09,1.493,2
2021-04-10,1.518,2
2021-04-11,1.541,2
