Date,Value,"Flag (0=obs 1=fcst 2=norm)"
2021-06-23,9.291,0
2021-06-24,10.233,0
2021-06-25,11.371,0
2021-06-26,13.399,0
2021-06-27,14.522,0
2021-06-28,14.289,0
2021-06-29,14.066,0
2021-06-30,14.007,0
2021-07-01,12.694,1
2021-07-02,11.027,1
2021-07-03,10.834,1
2021-07-04,11.408,1
2021-07-05,12.495,1
2021-07-06,13.269,1
2021-07-07,13.258,1
2021-07-08,13.57,1
2021-07-09,14.292,1
2021-07-10,14.125,2
2021-07-11,14.177,2
2021-07-12,14.222,2
2021-07-13,14.259,2
2021-07-14,14.289,2
2021-07-15,14.312,2
2021-07-16,14.327,2
